subject_class,property,subject_count,class_instance_count,object_count,min,max,avg,property_types,object_types
http://publications.europa.eu/ontology/authority/MappedCode,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,721,721,1,1,1,1.0,http://www.w3.org/2002/07/owl#ObjectProperty
http://publications.europa.eu/ontology/authority/MappedCode,http://publications.europa.eu/ontology/authority/legacy-code,721,721,392,1,1,1.0,http://www.w3.org/2002/07/owl#DatatypeProperty
http://publications.europa.eu/ontology/authority/MappedCode,http://purl.org/dc/elements/1.1/source,721,721,3,1,1,1.0,http://www.w3.org/2002/07/owl#DatatypeProperty
http://publications.europa.eu/ontology/euvoc#Site,http://publications.europa.eu/ontology/authority/op-code,404,404,404,1,1,1.0,http://www.w3.org/2002/07/owl#DatatypeProperty
http://publications.europa.eu/ontology/euvoc#Site,http://publications.europa.eu/ontology/euvoc#countryCode,403,404,158,0,1,0.997524752475247524752475,http://www.w3.org/2002/07/owl#ObjectProperty
http://publications.europa.eu/ontology/euvoc#Site,http://publications.europa.eu/resource/authority/op-code,404,404,404,1,1,1.0,http://www.w3.org/2002/07/owl#DatatypeProperty
http://publications.europa.eu/ontology/euvoc#Site,http://lemon-model.net/lemon#context,403,404,2,0,2,1.212871287128712871287128,http://www.w3.org/2002/07/owl#ObjectProperty
http://publications.europa.eu/ontology/euvoc#Site,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,15,404,14,0,1,0.037128712871287128712871,http://www.w3.org/2002/07/owl#DatatypeProperty
http://publications.europa.eu/ontology/euvoc#Site,http://publications.europa.eu/ontology/euvoc#xlNotation,225,404,721,0,156,1.784653465346534653465346,http://www.w3.org/2002/07/owl#ObjectProperty
http://publications.europa.eu/ontology/euvoc#Site,http://publications.europa.eu/ontology/authority/start.use,403,404,44,0,1,0.997524752475247524752475,http://www.w3.org/2002/07/owl#DatatypeProperty
http://publications.europa.eu/ontology/euvoc#Site,http://www.w3.org/ns/org#siteOf,311,404,310,0,7,1.03712871287128712871287,http://www.w3.org/2002/07/owl#ObjectProperty
http://publications.europa.eu/ontology/euvoc#Site,http://publications.europa.eu/ontology/euvoc#managedBy,173,404,10,0,3,0.44801980198019801980198,http://www.w3.org/2002/07/owl#ObjectProperty
http://publications.europa.eu/ontology/euvoc#Site,http://publications.europa.eu/ontology/authority/end.use,16,404,15,0,1,0.039603960396039603960396,http://www.w3.org/2002/07/owl#DatatypeProperty
http://publications.europa.eu/ontology/euvoc#Site,http://www.w3.org/2004/02/skos/core#historyNote,9,404,7,0,2,0.024752475247524752475247,http://www.w3.org/2002/07/owl#DatatypeProperty
http://publications.europa.eu/ontology/euvoc#Site,http://www.w3.org/2002/07/owl#versionInfo,404,404,1,1,1,1.0,http://www.w3.org/2002/07/owl#DatatypeProperty
http://publications.europa.eu/ontology/euvoc#Site,http://publications.europa.eu/ontology/authority/authority-code,403,404,403,0,1,0.997524752475247524752475,http://www.w3.org/2002/07/owl#DatatypeProperty
http://publications.europa.eu/ontology/euvoc#Site,http://www.w3.org/2006/vcard/ns#hasEmail,39,404,38,0,1,0.096534653465346534653465,http://www.w3.org/2002/07/owl#ObjectProperty
http://publications.europa.eu/ontology/euvoc#Site,http://publications.europa.eu/ontology/euvoc#localityCode,403,404,195,0,1,0.997524752475247524752475,http://www.w3.org/2002/07/owl#ObjectProperty
